代碼,股利發放年度,股利合計
1231,2018,1.8
1231,2017,2.2
1231,2016,1.65
1231,2015,0.9
1231,2014,2.2
1231,2013,2.0
1231,2012,1.5
1231,2011,1.4
1231,2010,0.7
1231,2009,0.7
1231,2008,0.6
1231,2007,0.5
1231,2006,0.5
1231,2005,0.5
1231,2004,0.5
1231,2003,0.5
1231,2002,0.5
1231,2001,0.9
1231,2000,1.5
1231,1999,1.5
1231,1998,2.0
1231,1997,1.7
1231,1996,2.3
1231,1995,2.3
1231,1994,2.5
1231,1993,6.0
1232,2022,6.0
1232,2021,6.0
1232,2020,5.0
1232,2019,5.0
1232,2018,5.0
1232,2017,5.0
1232,2016,5.0
1232,2015,5.0
1232,2014,3.8
1232,2013,2.8
1232,2012,3.0
1232,2011,3.5
1232,2010,3.0
1232,2009,2.4
1232,2008,2.6
1232,2007,2.0
1232,2006,1.6
1232,2005,1.2
1232,2004,1.6
1232,2003,1.8
1232,2002,1.8
1232,2001,1.3
1232,2000,0.6
1232,1999,0.8
1232,1998,1.0
1232,1997,1.3
1232,1996,1.8
1232,1995,1.3
1232,1994,1.4
1232,1993,1.3
1233,2022,0.8
1233,2021,0.8
1233,2020,1.6
1233,2019,1.9
1233,2018,2.25
1233,2017,1.6
1233,2016,2.0
1233,2015,2.1
1233,2014,2.3
1233,2013,2.3
1233,2012,2.3
1233,2011,2.0
1233,2010,1.9
1233,2009,1.4
1233,2008,1.4
1233,2007,1.5
1233,2006,1.5
1233,2005,1.5
1233,2004,1.2
1233,2003,1.0
1233,2002,0.7
1233,2001,0.8
1233,2000,1.0
1233,1999,1.3
1233,1998,1.4
1233,1997,1.0
1233,1996,1.0
1233,1995,0.5
1233,1994,1.7
1233,1993,11.2
1234,2022,1.7
1234,2021,1.8
1234,2020,1.7
1234,2019,1.6
1234,2018,1.5
1234,2017,2.0
1234,2016,1.5
1234,2015,1.2
1234,2014,2.0
1234,2013,2.5
1234,2012,0.6
1234,2011,0.5
1234,2010,0.45
1234,2009,0.3
1234,2008,0.27
1234,2007,0.2
1234,2006,0.25
1234,2005,0.2
1234,2004,0.4
1234,2003,0.4
1234,2002,0.4
1234,2001,0.6
1234,2000,1.0
1234,1999,1.46
1234,1998,1.34
1234,1997,1.5
1234,1996,1.05
1234,1995,1.67
1234,1994,1.7
1234,1993,2.73
1234,1992,3.01
1234,1991,3.53
1234,1990,2.85
1234,1987,0.6
1234,1986,0.48
1234,1985,0.5
1234,1984,0.9
1234,1983,0.48
1234,1982,1.34
1234,1981,0.9
1234,1980,6.31
1234,1979,1.81
1234,1978,1.0
1234,1977,0.81
1234,1976,0.88
1234,1975,3.06
1234,1974,2.5
1234,1973,0.9
1234,1972,2.2
1234,1971,3.63
1234,1970,3.75
1235,2022,3.8
1235,2021,1.5
1235,2020,1.1
1235,2019,1.25
1235,2018,4.5
1235,2017,0.0
1235,2016,0.0
1235,2015,0.8
1235,2014,0.0
1235,2013,0.0
1235,2012,0.0
1235,2011,0.3
1235,2010,0.3
1235,2009,0.3
1235,2008,1.4
1235,2007,1.0
1235,2006,0.5
1235,2005,1.2
1235,2004,1.0
1235,2003,1.5
1235,2002,1.5
1235,2001,1.0
1235,2000,1.0
1235,1999,0.8
1235,1998,0.8
1235,1997,1.0
1235,1996,0.6
1235,1995,0.3
1235,1994,0.0
1235,1993,0.4
1235,1992,0.3
1235,1991,0.3
1235,1990,3.34
1236,2022,0.5
1236,2021,0.2
1236,2020,0.3
1236,2019,0.4
1236,2018,0.1
1236,2017,0.3
1236,2016,0.7
1236,2015,1.3
1236,2014,1.3
1236,2013,0.7
1236,2012,1.5
1236,2011,1.4
1236,2010,1.8
1236,2009,1.0
1236,2008,1.3
1236,2007,0.6
1236,2006,1.8
1236,2005,1.5
1236,2004,1.8
1236,2003,1.1
1236,2002,0.6
1236,2001,1.0
1236,2000,0.6
1236,1999,0.0
1236,1998,1.2
1236,1997,2.0
1236,1996,1.5
1236,1995,1.2
1236,1994,1.0
1236,1993,0.0
1256,2022,13.0
1256,2021,12.0
1256,2020,6.2
1256,2019,7.2
1256,2018,5.0
1256,2017,4.2
1256,2016,4.0
1256,2015,6.5
1256,2014,9.0
1256,2013,2.0
1256,2012,1.12
1256,2011,0.0
1702,2022,2.2
1702,2021,2.0
1702,2020,2.0
1702,2019,2.7
1702,2018,2.7
1702,2017,2.81
1702,2016,2.6
1702,2015,2.1
1702,2014,2.0
1702,2013,1.0
1702,2012,0.55
1702,2011,1.4
1702,2010,0.0
1702,2009,0.0
1702,2008,0.0
1702,2007,0.0
1702,2006,0.0
1702,2005,0.0
1702,2004,0.26
1702,2003,0.25
1702,2002,0.0
1702,2001,0.0
1702,2000,0.0
1702,1999,0.0
1702,1998,1.0
1702,1997,0.6
1702,1996,0.0
1702,1995,0.0
1702,1994,0.0
1702,1993,0.0
1702,1992,3.3
1702,1991,3.3
1702,1990,0.8
1702,1989,1.05
1702,1988,1.93
1702,1987,2.5
1702,1986,1.5
1702,1985,4.0
1702,1984,2.3
1737,2022,1.5
1737,2021,1.35
1737,2020,1.5
1737,2019,1.8
1737,2018,1.5
1737,2017,1.5
1737,2016,1.12
1737,2015,1.0
1737,2014,0.5
1737,2013,0.26
1737,2012,0.68
1737,2011,0.6
1737,2010,0.6
1737,2009,0.0
1737,2008,0.5
1737,2007,1.3
1737,2006,1.0
1737,2005,4.0
1737,2004,2.5
