代碼,商品,新聞內容,日期
6243,迅杰,迅杰:公告本公司受邀參加元富證券所舉辦之「2023夏季產業投資論壇」,2023-06-02
6235,華孚,華孚5月營收4.72億元年增52.3% 1—5月達22.94億元,2023-06-02
6486,互動,互動5月營收1.41億元年增13.1% 1—5月達6.12億元,2023-06-02
1110,東泥,東泥:調整112/5/16公告本公司標售小港區中林子段1081地號及其地上建築物,2023-06-02
2207,和泰車,和泰車:代子公司和泰產物保險(股)公司公告減資基準日(補充5/11公告),2023-06-02
1110,東泥,東泥:調整112/5/16公告本公司標售機器設備案,2023-06-02
2809,京城銀,京城銀:本公司112年05月自結盈餘相關資訊,2023-06-02
8064,東捷,東捷:代重要子公司富臨科技工程(股)公司公告112年股東常會重要決議事項,2023-06-02
8064,東捷,東捷:代重要子公司富臨科技工程(股)公司公告112年股東常會全面改選董監事當選名單,2023-06-02
3260,威剛,威剛:公告本公司112年股東常會董事改選名單,2023-06-02
8064,東捷,東捷:代重要子公司富臨科技工程(股)公司公告112年股東常會決議通過解除董事競業禁止之限制,2023-06-02
8064,東捷,東捷:代重要子公司富臨科技工程(股)公司公告董事長續任,2023-06-02
2891,中信金,中信金:本公司將於112年6月14日支付一一一年度第二次無擔保普通公司債第一次利息公告,2023-06-02
6226,光鼎,光鼎:光鼎電子股份有限公司109年度第一次有擔保普通公司債終止櫃檯買賣。,2023-06-02
6226,光鼎,光鼎:光鼎電子股份有限公司109年度第一次有擔保普通公司債(以下簡稱：本公司債)第3年到期還本付息公告。,2023-06-02
3260,威剛,威剛:公告解除新任董事及其代表人之競業禁止之限制,2023-06-02
2546,根基,根基:本公司112年股東常會重要決議事項,2023-06-02
2546,根基,根基:公告本公司112年股東常會改選董事(含獨立董事),2023-06-02
2546,根基,根基:公告本公司112年股東常會通過解除董事競業禁止之限制,2023-06-02
2104,國際中橡,國際中橡:代子公司允成投資股份有限公司公告112年股東常會重要決議事項,2023-06-02
2546,根基,根基:公告本公司董事會推選董事長,2023-06-02
2104,國際中橡,國際中橡:代子公司允成投資股份有限公司公告112年股東會改選董事及監察人,2023-06-02
2301,光寶科,光寶科:受邀參加元富證券舉辦之「2023年夏季產業投資論壇」,2023-06-02
4911,德英,德英5月營收0.15億元年增481.84% 1—5月達0.70億元,2023-06-02
8064,東捷,東捷:代重要子公司富臨科技工程(股)公司公告配息基準日,2023-06-02
5283,禾聯碩,禾聯碩:公告本公司第八屆董事及獨立董事名單,2023-06-02
5283,禾聯碩,禾聯碩:公告本公司第五屆薪酬委員會委員名單,2023-06-02
8087,華鎂鑫,華鎂鑫:公告本公司112年度股東常會重要決議事項,2023-06-02
3556,禾瑞亞,禾瑞亞5月營收1.03億元年減31.05% 1—5月達5.75億元,2023-06-02
8087,華鎂鑫,華鎂鑫:公告本公司股東常會決議解除董事競業禁止之限制,2023-06-02
8087,華鎂鑫,華鎂鑫:公告本公司董事會決議通過現金增資發行新股,2023-06-02
2436,偉詮電,偉詮電:本公司分派現金股利公告,2023-06-02
